consulta,motor,doc_id,relevante_propuesto_ia,justificacion,no_verificable_por_titulo,relevante_final_equipo
españa campeón mundial,BM25,116,1,Fiesta callejera tras ganar (2 millones en calles) - directamente sobre España campeón,False,0
españa campeón mundial,BM25,71,1,Anillos de campeones que recibirán los jugadores - sobre España campeón,False,0
españa campeón mundial,BM25,118,0,"URL sin texto descriptivo (hash), fecha previa a la final - no_verificable_por_titulo",True,0
españa campeón mundial,BM25,78,0,"Sobre dónde ver la final, no sobre el resultado/campeón",False,0
españa campeón mundial,BM25,144,0,"Cántico de aficion argentina en la fiesta, no sobre España campeón",False,0
españa campeón mundial,Semantico,11,0,"Resumen de Inglaterra 1-2 Argentina, partido distinto",False,0
españa campeón mundial,Semantico,90,0,"Ranking FIFA top-4 tras semifinales, no sobre España campeón",False,1
españa campeón mundial,Semantico,66,0,Aficionado argentino celebrando clasificación a la final,False,0
españa campeón mundial,Semantico,136,0,"Test/quiz sobre el mundial, no sobre el resultado",False,0
españa campeón mundial,Semantico,83,0,Pieza histórica sobre Schweinsteiger y Argentina,False,0
polémica arbitral,BM25,52,0,"URL hash sin texto, fecha 14-jul - no_verificable_por_titulo",True,0
polémica arbitral,BM25,12,0,"Sobre una película de Christopher Nolan, sin relación",False,0
polémica arbitral,BM25,91,1,Queja de Noruega por un posible toque de balón con la spidercam - controversia arbitral real,False,0
polémica arbitral,BM25,103,0,"Sobre una senadora paraguaya vestida de España, sin relación",False,0
polémica arbitral,BM25,325,0,"Celebración de aficion española, no controversia",False,0
polémica arbitral,Semantico,77,0,"Pieza histórica de 1966 sobre tarjetas, contexto general no controversia de 2026",False,0
polémica arbitral,Semantico,24,0,"Estrategia publicitaria de Hisense, marketing sin relación",False,0
polémica arbitral,Semantico,101,1,Procedimiento disciplinario de FIFA por incidentes en la final - controversia real,False,0
polémica arbitral,Semantico,259,0,"Artículo de RT sobre declive de EEUU, sin relación",False,0
polémica arbitral,Semantico,283,0,"Comunicado institucional AFC/UEFA/CONCACAF, no controversia específica",False,0
lesión jugador,BM25,9,0,"Resumen España 2-1 Bélgica, no menciona lesión",False,1
lesión jugador,BM25,139,0,"URL hash sin texto, 15-jul - no_verificable_por_titulo",True,0
lesión jugador,BM25,327,0,"Trump abucheado en la ceremonia, sin relación",False,0
lesión jugador,BM25,326,0,"Reunión de crisis de Infantino en FIFA, no es sobre lesión",False,0
lesión jugador,BM25,325,0,"Celebración de aficion española, no sobre lesión",False,0
lesión jugador,Semantico,25,1,Agresión/puñetazo de Ayala a Dani Olmo - incidente con lesión real,False,0
lesión jugador,Semantico,9,0,"Resumen España 2-1 Bélgica, no menciona lesión",False,1
lesión jugador,Semantico,87,0,"Sobre los goles España-Francia, no lesión",False,1
lesión jugador,Semantico,83,0,Pieza histórica Schweinsteiger/Argentina,False,0
lesión jugador,Semantico,77,0,"Pieza histórica de 1966 sobre tarjetas, no lesión",False,0
amazon documental selección española,BM25,0,1,Es el artículo exacto sobre el documental de Amazon,False,0
amazon documental selección española,BM25,72,0,"Corte Inglés apoyando a la selección en Times Square, no el documental",False,0
amazon documental selección española,BM25,131,0,"Sección economía/empresas, URL hash - probablemente no relacionado",False,0
amazon documental selección española,BM25,67,0,"Sobre Lamine Yamal y un tatuaje, sin relación al documental",False,0
amazon documental selección española,BM25,54,0,"Sobre promesa de tatuaje de Cucurella, sin relación",False,0
amazon documental selección española,Semantico,0,1,Es el artículo exacto sobre el documental de Amazon,False,0
amazon documental selección española,Semantico,167,0,"Notas/calificaciones a jugadores, no el documental",False,0
amazon documental selección española,Semantico,143,0,"Jugadores por comunidad autónoma, no el documental",False,0
amazon documental selección española,Semantico,175,0,"Sección empresas, probablemente no relacionado",False,0
amazon documental selección española,Semantico,147,0,"Teorías sobre ganar el mundial, no el documental",False,0
argentina final,BM25,225,0,Video de BBC sin texto descriptivo - no_verificable_por_titulo,True,0
argentina final,BM25,3,1,Cómo y cuándo ver la final España-Argentina - directamente relevante,False,0
argentina final,BM25,30,1,"Memes sobre la final, España ganó a Argentina - relevante",False,1
argentina final,BM25,44,0,"Argentina vs Suiza, partido distinto (no la final)",False,1
